int_ftse,int_dax,int_nikkei,int_spx
-5.0,1.0,319.0,6.0
-27.0,3.0,42.0,-1.0
-41.0,-46.0,308.0,0.0
-12.0,-40.0,-216.0,-2.0
40.0,9.0,396.0,2.0
7.0,-36.0,-248.0,-1.0
30.0,15.0,-211.0,1.0
38.0,2.0,525.0,0.0
-6.0,-34.0,144.0,0.0
15.0,-25.0,124.0,0.0
-3.0,34.0,-954.0,-3.0
-38.0,-17.0,295.0,-1.0
-7.0,38.0,490.0,3.0
-9.0,-5.0,-247.0,4.0
20.0,33.0,-134.0,1.0
44.0,36.0,1472.0,3.0
-10.0,-11.0,187.0,-2.0
39.0,3.0,-166.0,3.0
-29.0,-47.0,-76.0,-2.0
-16.0,6.0,127.0,-11.0
-56.0,-48.0,-287.0,2.0
21.0,4.0,237.0,0.0
-11.0,17.0,-410.0,1.0
-23.0,3.0,149.0,-4.0
-28.0,-11.0,0.0,2.0
-15.0,-7.0,-531.0,0.0
30.0,29.0,-485.0,2.0
24.0,5.0,78.0,0.0
8.0,27.0,-121.0,-2.0
-43.0,-29.0,28.0,-3.0
-32.0,-25.0,434.0,0.0
-17.0,5.0,-51.0,4.0
8.0,27.0,-1.0,-1.0
-74.0,-58.0,424.0,-6.0
14.0,-7.0,38.0,2.0
47.0,28.0,194.0,1.0
-58.0,-47.0,219.0,-3.0
-22.0,-38.0,-472.0,0.0
-2.0,26.0,-139.0,-1.0
32.0,32.0,361.0,1.0
27.0,56.0,-155.0,2.0
-41.0,-7.0,87.0,-1.0
-18.0,-7.0,-59.0,2.0
-13.0,6.0,251.0,-4.0
-42.0,-23.0,25.0,3.0
42.0,68.0,411.0,1.0
34.0,9.0,-18.0,0.0
-25.0,-10.0,169.0,2.0
13.0,-8.0,-85.0,1.0
-37.0,-20.0,-123.0,1.0
-21.0,-10.0,0.0,-3.0
4.0,11.0,-216.0,0.0
-46.0,21.0,-291.0,0.0
-34.0,-18.0,75.0,-4.0
7.0,0.0,-201.0,-4.0
1.0,23.0,105.0,0.0
-6.0,-5.0,-232.0,-8.0
-31.0,-11.0,-150.0,-7.0
-6.0,-9.0,-448.0,0.0
0.0,0.0,166.0,0.0
0.0,0.0,-155.0,-7.0
30.0,35.0,441.0,10.0
15.0,7.0,133.0,0.0
-2.0,0.0,194.0,2.0
-9.0,19.0,44.0,-3.0
29.0,21.0,-36.0,2.0
10.0,-13.0,-250.0,-2.0
-14.0,4.0,412.0,-1.0
-14.0,-17.0,-73.0,0.0
37.0,13.0,177.0,0.0
-30.0,7.0,113.0,-4.0
-10.0,-25.0,-85.0,0.0
-30.0,1.0,-310.0,-1.0
3.0,0.0,-83.0,7.0
32.0,24.0,165.0,-1.0
-27.0,-10.0,-255.0,5.0
19.0,33.0,-81.0,-1.0
25.0,15.0,101.0,0.0
-21.0,-19.0,-4.0,-2.0
-4.0,15.0,0.0,1.0
0.0,14.0,-155.0,3.0
-25.0,-5.0,0.0,0.0
-30.0,-20.0,0.0,-2.0
36.0,8.0,0.0,0.0
0.0,-16.0,292.0,-4.0
-9.0,-15.0,-76.0,-5.0
39.0,23.0,131.0,4.0
-6.0,7.0,233.0,-5.0
7.0,0.0,74.0,2.0
-18.0,9.0,46.0,1.0
-4.0,15.0,-82.0,0.0
8.0,-4.0,-55.0,5.0
-7.0,-14.0,19.0,4.0
6.0,-9.0,69.0,3.0
5.0,-7.0,121.0,-2.0
-19.0,0.0,226.0,-1.0
-19.0,-50.0,54.0,1.0
-69.0,-51.0,41.0,2.0
-1.0,9.0,-168.0,1.0
-53.0,-34.0,282.0,0.0
0.0,17.0,61.0,0.0
4.0,8.0,135.0,-1.0
-39.0,-24.0,80.0,1.0
49.0,0.0,-44.0,0.0
17.0,45.0,-55.0,3.0
12.0,5.0,-228.0,-2.0
-5.0,-32.0,316.0,0.0
34.0,13.0,219.0,-1.0
-10.0,-14.0,141.0,0.0
27.0,13.0,-7.0,1.0
-39.0,-59.0,157.0,1.0
23.0,4.0,-199.0,3.0
6.0,-15.0,-71.0,-2.0
-15.0,-26.0,85.0,1.0
-8.0,-16.0,136.0,-3.0
-51.0,-45.0,-351.0,-3.0
-31.0,-29.0,-339.0,-4.0
20.0,47.0,-232.0,2.0
-18.0,28.0,459.0,-4.0
-66.0,-27.0,-274.0,-7.0
23.0,0.0,-466.0,5.0
10.0,17.0,339.0,-1.0
37.0,20.0,-158.0,1.0
-27.0,-22.0,162.0,-3.0
17.0,20.0,-100.0,2.0
34.0,21.0,88.0,0.0
-5.0,-27.0,203.0,0.0
-19.0,-3.0,-205.0,0.0
18.0,18.0,-9.0,2.0
-2.0,-2.0,-94.0,1.0
21.0,22.0,-53.0,-1.0
